vh,ozon,ibh,dpg,vis,temp,doy
5710.00,3.00,2693.00,-25.00,250.00,40.00,3.00
5700.00,5.00,590.00,-24.00,100.00,45.00,4.00
5760.00,5.00,1450.00,25.00,60.00,54.00,5.00
5720.00,6.00,1568.00,15.00,60.00,35.00,6.00
5790.00,4.00,2631.00,-33.00,100.00,45.00,7.00
5790.00,4.00,554.00,-28.00,250.00,55.00,8.00
5700.00,6.00,2083.00,23.00,120.00,41.00,9.00
5700.00,7.00,2654.00,-2.00,120.00,44.00,10.00
5770.00,4.00,5000.00,-19.00,120.00,54.00,11.00
5720.00,6.00,111.00,9.00,150.00,51.00,12.00
5760.00,5.00,492.00,-44.00,40.00,51.00,13.00
5780.00,4.00,5000.00,-44.00,200.00,54.00,14.00
5830.00,4.00,1249.00,-53.00,250.00,58.00,15.00
5870.00,7.00,5000.00,-67.00,200.00,61.00,16.00
5840.00,5.00,5000.00,-40.00,200.00,64.00,17.00
5780.00,9.00,639.00,1.00,150.00,67.00,18.00
5680.00,4.00,393.00,-68.00,10.00,52.00,19.00
5720.00,3.00,5000.00,-66.00,140.00,54.00,20.00
5760.00,4.00,5000.00,-58.00,250.00,54.00,21.00
5730.00,4.00,5000.00,-26.00,200.00,58.00,22.00
5700.00,5.00,3044.00,18.00,150.00,69.00,23.00
5650.00,6.00,3641.00,23.00,140.00,51.00,24.00
5680.00,9.00,111.00,-10.00,50.00,53.00,25.00
5820.00,6.00,597.00,-52.00,70.00,59.00,27.00
5810.00,6.00,1791.00,-15.00,150.00,64.00,29.00
5790.00,11.00,793.00,-15.00,120.00,63.00,30.00
5800.00,10.00,531.00,-38.00,40.00,63.00,31.00
5820.00,7.00,419.00,-29.00,120.00,62.00,32.00
5770.00,12.00,816.00,-7.00,6.00,63.00,33.00
5670.00,9.00,3651.00,62.00,30.00,54.00,34.00
5590.00,2.00,5000.00,70.00,100.00,36.00,35.00
5410.00,3.00,5000.00,28.00,200.00,31.00,36.00
5350.00,3.00,1341.00,18.00,60.00,30.00,37.00
5480.00,2.00,5000.00,.00,350.00,36.00,38.00
5600.00,3.00,3799.00,-18.00,250.00,42.00,39.00
5490.00,3.00,5000.00,32.00,350.00,37.00,40.00
5560.00,4.00,5000.00,-1.00,300.00,41.00,41.00
5700.00,6.00,5000.00,-30.00,300.00,46.00,42.00
5680.00,8.00,5000.00,-8.00,300.00,51.00,43.00
5700.00,6.00,2398.00,21.00,200.00,55.00,44.00
5650.00,4.00,5000.00,51.00,100.00,41.00,45.00
5610.00,3.00,4281.00,42.00,250.00,41.00,46.00
5730.00,7.00,1161.00,27.00,200.00,49.00,47.00
5770.00,11.00,2778.00,2.00,200.00,45.00,48.00
5770.00,13.00,442.00,26.00,40.00,55.00,49.00
5690.00,6.00,5000.00,-30.00,300.00,41.00,51.00
5700.00,5.00,5000.00,-53.00,300.00,45.00,52.00
5730.00,4.00,5000.00,-43.00,300.00,51.00,53.00
5690.00,4.00,5000.00,7.00,300.00,53.00,54.00
5640.00,6.00,5000.00,24.00,300.00,50.00,55.00
5720.00,10.00,1341.00,19.00,150.00,60.00,56.00
5740.00,15.00,1318.00,2.00,150.00,54.00,57.00
5740.00,23.00,885.00,-4.00,80.00,53.00,58.00
5740.00,17.00,360.00,3.00,40.00,53.00,59.00
5670.00,7.00,3497.00,73.00,40.00,44.00,60.00
5550.00,2.00,5000.00,73.00,80.00,40.00,61.00
5470.00,3.00,5000.00,44.00,300.00,30.00,62.00
5320.00,3.00,5000.00,39.00,200.00,25.00,63.00
5530.00,4.00,5000.00,-12.00,140.00,40.00,65.00
5600.00,6.00,5000.00,-2.00,140.00,45.00,66.00
5660.00,7.00,5000.00,30.00,140.00,51.00,67.00
5580.00,7.00,3608.00,24.00,100.00,48.00,68.00
5510.00,6.00,5000.00,38.00,140.00,45.00,69.00
5530.00,3.00,5000.00,56.00,200.00,47.00,70.00
5620.00,2.00,5000.00,66.00,120.00,43.00,71.00
5690.00,8.00,613.00,-27.00,300.00,49.00,72.00
5760.00,12.00,334.00,-9.00,300.00,56.00,73.00
5740.00,12.00,567.00,13.00,150.00,53.00,74.00
5780.00,16.00,488.00,-20.00,2.00,61.00,75.00
5790.00,9.00,531.00,-15.00,50.00,63.00,76.00
5760.00,24.00,508.00,7.00,70.00,70.00,77.00
5700.00,13.00,1571.00,68.00,17.00,57.00,78.00
5680.00,8.00,721.00,28.00,140.00,35.00,79.00
5720.00,10.00,505.00,-49.00,140.00,52.00,80.00
5720.00,8.00,377.00,-27.00,300.00,59.00,81.00
5730.00,9.00,442.00,-9.00,200.00,67.00,82.00
5710.00,10.00,902.00,54.00,250.00,57.00,83.00
5720.00,14.00,1381.00,4.00,60.00,42.00,85.00
5710.00,9.00,5000.00,-16.00,100.00,55.00,86.00
5600.00,11.00,5000.00,38.00,150.00,40.00,87.00
5630.00,7.00,1302.00,40.00,150.00,39.00,88.00
5690.00,9.00,1292.00,-5.00,200.00,57.00,89.00
5730.00,12.00,5000.00,-14.00,100.00,58.00,90.00
5710.00,12.00,472.00,34.00,300.00,62.00,91.00
5610.00,8.00,1404.00,42.00,120.00,51.00,92.00
5680.00,9.00,944.00,35.00,100.00,61.00,93.00
5620.00,5.00,5000.00,75.00,200.00,34.00,94.00
5420.00,4.00,5000.00,41.00,200.00,35.00,95.00
5540.00,4.00,5000.00,62.00,200.00,35.00,96.00
5590.00,9.00,5000.00,44.00,300.00,48.00,97.00
5690.00,13.00,2014.00,31.00,300.00,59.00,98.00
5550.00,5.00,5000.00,56.00,250.00,41.00,99.00
5620.00,10.00,5000.00,27.00,120.00,58.00,100.00
5630.00,10.00,524.00,57.00,140.00,51.00,101.00
5580.00,7.00,5000.00,55.00,200.00,46.00,102.00
5560.00,5.00,5000.00,59.00,140.00,40.00,103.00
5440.00,4.00,5000.00,24.00,80.00,35.00,104.00
5480.00,7.00,2490.00,29.00,300.00,46.00,105.00
5620.00,3.00,5000.00,107.00,100.00,39.00,106.00
5450.00,4.00,5000.00,36.00,300.00,32.00,107.00
5660.00,7.00,5000.00,28.00,200.00,47.00,108.00
5680.00,11.00,1144.00,30.00,120.00,50.00,109.00
5760.00,15.00,547.00,1.00,100.00,65.00,110.00
5790.00,22.00,413.00,10.00,120.00,66.00,111.00
5720.00,17.00,610.00,46.00,60.00,69.00,112.00
5660.00,7.00,3638.00,81.00,120.00,59.00,113.00
5710.00,10.00,3848.00,45.00,100.00,64.00,114.00
5780.00,19.00,1479.00,40.00,100.00,68.00,115.00
5750.00,18.00,1108.00,55.00,27.00,49.00,116.00
5700.00,12.00,869.00,.00,40.00,52.00,117.00
5620.00,6.00,5000.00,43.00,140.00,56.00,118.00
5650.00,9.00,5000.00,49.00,150.00,55.00,119.00
5730.00,19.00,1148.00,31.00,100.00,66.00,120.00
5810.00,21.00,856.00,4.00,100.00,74.00,121.00
5790.00,29.00,807.00,16.00,120.00,76.00,122.00
5740.00,16.00,2040.00,46.00,150.00,70.00,123.00
5690.00,11.00,314.00,60.00,120.00,67.00,125.00
5680.00,2.00,5000.00,75.00,120.00,41.00,127.00
5650.00,12.00,1410.00,20.00,140.00,61.00,128.00
5730.00,16.00,360.00,23.00,120.00,68.00,129.00
5730.00,22.00,1568.00,32.00,70.00,69.00,130.00
5760.00,20.00,1184.00,40.00,80.00,74.00,131.00
5830.00,27.00,898.00,24.00,70.00,74.00,132.00
5880.00,33.00,436.00,.00,40.00,80.00,133.00
5890.00,25.00,774.00,6.00,20.00,84.00,134.00
5850.00,31.00,1181.00,50.00,17.00,78.00,135.00
5820.00,18.00,1991.00,47.00,40.00,80.00,136.00
5800.00,24.00,1597.00,56.00,50.00,76.00,138.00
5740.00,16.00,1184.00,52.00,70.00,74.00,139.00
5710.00,12.00,3005.00,58.00,80.00,66.00,140.00
5720.00,9.00,2880.00,53.00,120.00,66.00,141.00
5740.00,16.00,2125.00,64.00,100.00,69.00,143.00
5690.00,8.00,3720.00,74.00,120.00,62.00,145.00
5730.00,9.00,4337.00,66.00,200.00,67.00,146.00
5780.00,29.00,2053.00,31.00,120.00,80.00,147.00
5790.00,20.00,1958.00,70.00,40.00,76.00,148.00
5750.00,5.00,3644.00,86.00,70.00,65.00,149.00
5680.00,5.00,1368.00,75.00,100.00,65.00,150.00
5720.00,11.00,3539.00,73.00,120.00,63.00,151.00
5770.00,12.00,2785.00,49.00,100.00,62.00,152.00
5800.00,19.00,984.00,26.00,120.00,68.00,153.00
5780.00,17.00,1804.00,56.00,70.00,68.00,154.00
5740.00,19.00,3234.00,77.00,80.00,69.00,155.00
5730.00,16.00,3441.00,67.00,100.00,66.00,156.00
5760.00,14.00,1578.00,61.00,100.00,70.00,157.00
5770.00,10.00,1850.00,76.00,120.00,70.00,158.00
5690.00,9.00,2962.00,80.00,120.00,64.00,159.00
5650.00,7.00,2670.00,54.00,120.00,61.00,160.00
5610.00,5.00,5000.00,76.00,150.00,52.00,161.00
5570.00,2.00,5000.00,57.00,140.00,48.00,162.00
5690.00,12.00,5000.00,46.00,140.00,59.00,163.00
5760.00,22.00,987.00,28.00,140.00,67.00,164.00
5810.00,17.00,1148.00,43.00,140.00,66.00,165.00
5830.00,26.00,898.00,-24.00,60.00,74.00,166.00
5880.00,27.00,777.00,-1.00,30.00,83.00,167.00
5860.00,14.00,1279.00,75.00,17.00,78.00,168.00
5830.00,11.00,1046.00,69.00,80.00,75.00,169.00
5870.00,23.00,1167.00,50.00,60.00,84.00,170.00
5860.00,26.00,987.00,45.00,100.00,81.00,171.00
5800.00,21.00,1144.00,57.00,120.00,79.00,172.00
5800.00,15.00,977.00,60.00,150.00,79.00,173.00
5770.00,20.00,770.00,26.00,120.00,65.00,174.00
5860.00,15.00,629.00,-11.00,140.00,81.00,175.00
5870.00,18.00,337.00,-14.00,140.00,84.00,176.00
5870.00,26.00,590.00,26.00,120.00,83.00,177.00
5860.00,19.00,400.00,19.00,120.00,90.00,178.00
5880.00,13.00,580.00,9.00,80.00,90.00,179.00
5870.00,30.00,646.00,25.00,140.00,93.00,180.00
5860.00,26.00,826.00,41.00,140.00,88.00,181.00
5830.00,15.00,823.00,52.00,150.00,72.00,182.00
5820.00,16.00,2116.00,47.00,120.00,72.00,183.00
5820.00,16.00,2972.00,52.00,120.00,70.00,184.00
5860.00,19.00,2752.00,41.00,140.00,78.00,185.00
5870.00,23.00,1377.00,37.00,100.00,87.00,186.00
5890.00,28.00,1486.00,33.00,50.00,91.00,187.00
5900.00,34.00,990.00,22.00,40.00,87.00,188.00
5890.00,33.00,508.00,29.00,100.00,91.00,189.00
5910.00,24.00,1204.00,56.00,100.00,88.00,191.00
5900.00,17.00,2414.00,63.00,60.00,83.00,192.00
5860.00,10.00,2385.00,67.00,50.00,78.00,193.00
5830.00,14.00,2326.00,64.00,70.00,79.00,194.00
5850.00,13.00,3389.00,56.00,80.00,77.00,195.00
5830.00,17.00,2818.00,58.00,80.00,81.00,196.00
5810.00,22.00,2394.00,54.00,90.00,76.00,198.00
5830.00,19.00,2746.00,61.00,120.00,78.00,199.00
5830.00,20.00,2493.00,55.00,120.00,75.00,200.00
5840.00,25.00,1528.00,42.00,100.00,82.00,201.00
5870.00,28.00,111.00,40.00,60.00,84.00,202.00
5870.00,29.00,1899.00,45.00,40.00,86.00,203.00
5860.00,23.00,1289.00,32.00,40.00,80.00,205.00
5900.00,26.00,984.00,35.00,70.00,80.00,206.00
5890.00,14.00,836.00,28.00,80.00,84.00,207.00
5880.00,13.00,826.00,27.00,80.00,84.00,208.00
5890.00,26.00,1105.00,39.00,80.00,81.00,209.00
5870.00,22.00,1023.00,46.00,80.00,85.00,210.00
5820.00,14.00,2956.00,46.00,120.00,73.00,213.00
5780.00,13.00,2988.00,56.00,150.00,72.00,214.00
5770.00,9.00,4291.00,60.00,200.00,68.00,215.00
5790.00,12.00,3330.00,59.00,150.00,65.00,216.00
5840.00,14.00,1233.00,30.00,100.00,79.00,222.00
5910.00,24.00,1069.00,28.00,80.00,81.00,224.00
5890.00,19.00,984.00,57.00,70.00,80.00,225.00
5870.00,16.00,1653.00,71.00,60.00,76.00,226.00
5780.00,7.00,3930.00,68.00,150.00,59.00,227.00
5730.00,2.00,5000.00,73.00,200.00,55.00,228.00
5780.00,4.00,5000.00,45.00,200.00,66.00,229.00
5750.00,6.00,4212.00,46.00,200.00,64.00,230.00
5760.00,12.00,5000.00,52.00,250.00,62.00,231.00
5730.00,9.00,5000.00,31.00,300.00,67.00,232.00
5730.00,15.00,1545.00,43.00,70.00,74.00,233.00
5790.00,17.00,994.00,44.00,300.00,74.00,234.00
5750.00,13.00,1125.00,55.00,150.00,70.00,235.00
5880.00,20.00,636.00,16.00,300.00,77.00,236.00
5890.00,22.00,748.00,32.00,30.00,83.00,237.00
5880.00,24.00,692.00,44.00,100.00,81.00,238.00
5870.00,26.00,807.00,39.00,100.00,73.00,239.00
5900.00,32.00,869.00,19.00,17.00,87.00,240.00
5920.00,33.00,800.00,24.00,20.00,89.00,241.00
5930.00,27.00,393.00,6.00,4.00,92.00,242.00
5950.00,38.00,557.00,.00,70.00,92.00,243.00
5950.00,23.00,620.00,27.00,30.00,93.00,244.00
5900.00,19.00,1404.00,33.00,70.00,93.00,245.00
5890.00,19.00,898.00,21.00,60.00,86.00,246.00
5860.00,15.00,377.00,-2.00,40.00,76.00,247.00
5840.00,28.00,528.00,17.00,50.00,81.00,248.00
5800.00,10.00,2818.00,26.00,70.00,78.00,249.00
5760.00,14.00,3247.00,10.00,140.00,73.00,250.00
5810.00,26.00,895.00,.00,100.00,80.00,251.00
5850.00,17.00,721.00,.00,120.00,81.00,252.00
5760.00,3.00,5000.00,39.00,150.00,52.00,255.00
5860.00,14.00,1965.00,13.00,50.00,63.00,256.00
5830.00,29.00,1853.00,10.00,70.00,72.00,257.00
5840.00,18.00,2342.00,7.00,40.00,75.00,258.00
5800.00,3.00,5000.00,56.00,70.00,55.00,259.00
5790.00,9.00,4028.00,35.00,140.00,61.00,261.00
5830.00,19.00,2716.00,26.00,140.00,71.00,262.00
5810.00,8.00,3671.00,31.00,100.00,71.00,263.00
5780.00,23.00,3795.00,31.00,70.00,72.00,265.00
5800.00,13.00,3120.00,35.00,40.00,75.00,266.00
5800.00,7.00,2667.00,17.00,100.00,65.00,268.00
5780.00,3.00,5000.00,39.00,120.00,61.00,269.00
5790.00,5.00,5000.00,36.00,120.00,60.00,270.00
5770.00,11.00,308.00,25.00,140.00,64.00,271.00
5750.00,12.00,2982.00,18.00,120.00,61.00,272.00
5640.00,5.00,5000.00,30.00,70.00,63.00,273.00
5640.00,4.00,5000.00,25.00,150.00,62.00,274.00
5650.00,5.00,5000.00,38.00,200.00,59.00,275.00
5710.00,4.00,5000.00,35.00,200.00,56.00,276.00
5760.00,10.00,3070.00,13.00,200.00,59.00,277.00
5840.00,17.00,830.00,.00,70.00,72.00,278.00
5880.00,26.00,711.00,-9.00,40.00,71.00,279.00
5890.00,30.00,1049.00,-10.00,50.00,75.00,280.00
5890.00,18.00,511.00,-39.00,17.00,71.00,281.00
5890.00,12.00,5000.00,-40.00,80.00,71.00,282.00
5890.00,7.00,5000.00,-34.00,250.00,73.00,283.00
5850.00,15.00,377.00,-3.00,200.00,78.00,284.00
5830.00,12.00,862.00,27.00,2.00,73.00,285.00
5830.00,7.00,337.00,-17.00,20.00,71.00,286.00
5860.00,28.00,492.00,-2.00,7.00,73.00,287.00
5830.00,22.00,1394.00,13.00,30.00,71.00,288.00
5800.00,18.00,3146.00,27.00,50.00,66.00,289.00
5830.00,14.00,2234.00,11.00,70.00,69.00,290.00
5790.00,24.00,2109.00,21.00,17.00,69.00,291.00
5730.00,10.00,5000.00,23.00,80.00,64.00,292.00
5780.00,14.00,2270.00,-7.00,50.00,65.00,293.00
5740.00,9.00,2191.00,-13.00,60.00,54.00,294.00
5710.00,12.00,3448.00,12.00,60.00,62.00,295.00
5690.00,7.00,5000.00,13.00,80.00,56.00,296.00
5670.00,7.00,5000.00,11.00,50.00,55.00,297.00
5760.00,6.00,2719.00,25.00,50.00,58.00,298.00
5820.00,13.00,1899.00,21.00,40.00,48.00,299.00
5790.00,5.00,5000.00,-41.00,40.00,54.00,300.00
5760.00,3.00,5000.00,-21.00,300.00,57.00,301.00
5800.00,7.00,5000.00,-19.00,200.00,60.00,302.00
5810.00,8.00,2385.00,10.00,150.00,61.00,303.00
5750.00,10.00,1938.00,.00,100.00,63.00,304.00
5840.00,12.00,590.00,-11.00,100.00,65.00,305.00
5920.00,6.00,328.00,-40.00,150.00,71.00,308.00
5860.00,5.00,5000.00,-29.00,300.00,70.00,310.00
5840.00,20.00,597.00,-22.00,30.00,68.00,312.00
5810.00,14.00,469.00,-4.00,50.00,69.00,314.00
5770.00,16.00,1541.00,18.00,20.00,59.00,315.00
5710.00,5.00,5000.00,24.00,200.00,49.00,316.00
5500.00,3.00,5000.00,15.00,120.00,39.00,317.00
5660.00,5.00,5000.00,27.00,300.00,50.00,318.00
5700.00,1.00,5000.00,54.00,200.00,46.00,319.00
5810.00,5.00,5000.00,-28.00,70.00,54.00,320.00
5860.00,4.00,5000.00,-38.00,140.00,60.00,321.00
5900.00,11.00,5000.00,-36.00,150.00,62.00,322.00
5850.00,6.00,2014.00,-20.00,200.00,65.00,323.00
5780.00,8.00,436.00,1.00,4.00,66.00,324.00
5790.00,14.00,830.00,3.00,40.00,66.00,325.00
5780.00,18.00,1112.00,-8.00,30.00,63.00,326.00
5770.00,12.00,1210.00,-17.00,30.00,62.00,327.00
5750.00,9.00,501.00,-22.00,2.00,60.00,328.00
5780.00,7.00,875.00,-15.00,.00,63.00,329.00
5790.00,14.00,1601.00,7.00,30.00,60.00,330.00
5750.00,4.00,5000.00,59.00,60.00,58.00,331.00
5670.00,3.00,5000.00,-63.00,150.00,34.00,332.00
5760.00,3.00,5000.00,-52.00,100.00,36.00,333.00
5770.00,3.00,2280.00,-54.00,250.00,44.00,334.00
5810.00,3.00,2047.00,-43.00,150.00,53.00,335.00
5810.00,3.00,5000.00,-69.00,200.00,52.00,336.00
5870.00,3.00,3720.00,-50.00,200.00,53.00,337.00
5830.00,3.00,311.00,-24.00,200.00,58.00,338.00
5760.00,6.00,2536.00,28.00,80.00,55.00,339.00
5680.00,6.00,1154.00,-22.00,60.00,50.00,340.00
5780.00,5.00,2933.00,-40.00,300.00,48.00,341.00
5810.00,3.00,3064.00,-33.00,200.00,51.00,342.00
5760.00,4.00,826.00,-16.00,300.00,62.00,343.00
5680.00,7.00,5000.00,2.00,50.00,40.00,344.00
5750.00,5.00,111.00,-52.00,40.00,44.00,345.00
5790.00,5.00,5000.00,-48.00,70.00,49.00,346.00
5770.00,4.00,5000.00,-37.00,150.00,53.00,347.00
5750.00,3.00,5000.00,-26.00,150.00,53.00,348.00
5720.00,2.00,5000.00,-31.00,70.00,53.00,349.00
5760.00,5.00,948.00,-48.00,200.00,55.00,350.00
5780.00,3.00,5000.00,-50.00,120.00,51.00,351.00
5660.00,4.00,5000.00,-22.00,150.00,54.00,352.00
5610.00,4.00,3687.00,-10.00,150.00,48.00,353.00
5640.00,6.00,5000.00,.00,60.00,53.00,354.00
5680.00,6.00,5000.00,-19.00,70.00,49.00,355.00
5650.00,3.00,5000.00,-28.00,150.00,48.00,356.00
5710.00,4.00,5000.00,-25.00,300.00,51.00,357.00
5680.00,3.00,508.00,-10.00,100.00,47.00,358.00
5630.00,8.00,2851.00,-5.00,70.00,50.00,359.00
5730.00,2.00,111.00,-14.00,200.00,51.00,362.00
5690.00,3.00,5000.00,-36.00,70.00,51.00,363.00
5650.00,5.00,3704.00,18.00,40.00,50.00,364.00
5550.00,1.00,5000.00,8.00,100.00,39.00,365.00
